timestamp,open,high,low,close,volume
1757863255,2400.0,2408.1341,2380.6336,2388.3557,4659.11
1757866855,2388.3557,2389.744,2354.874,2361.2044,2399.32
1757870455,2361.2044,2378.6837,2358.4974,2377.1534,2753.93
1757874055,2377.1534,2405.1367,2374.3471,2398.5111,6275.16
1757877655,2398.5111,2406.3209,2370.6939,2371.6661,7076.25
1757881255,2371.6661,2395.3095,2364.6231,2387.0519,4928.89
1757884855,2387.0519,2394.5406,2365.005,2372.5861,3013.47
1757888455,2372.5861,2392.3624,2368.908,2383.5292,7696.91
1757892055,2383.5292,2416.0923,2378.2652,2413.0744,1090.76
1757895655,2413.0744,2419.0643,2391.7855,2399.2802,7090.83
1757899255,2399.2802,2429.097,2392.5177,2420.2729,5533.43
1757902855,2420.2729,2442.247,2414.4314,2436.9188,6433.03
1757906455,2436.9188,2469.3254,2435.1893,2466.4231,5778.61
1757910055,2466.4231,2468.1377,2443.3228,2448.3551,3640.39
1757913655,2448.3551,2453.8061,2443.9312,2445.2034,5087.9
1757917255,2445.2034,2448.4365,2424.5478,2431.4501,2083.64
1757920855,2431.4501,2434.5879,2411.1252,2411.6157,7526.67
1757924455,2411.6157,2426.1982,2406.8836,2419.7916,5008.74
1757928055,2419.7916,2427.3804,2409.3492,2412.4164,2539.73
1757931655,2412.4164,2413.0743,2389.7183,2394.5567,3911.52
1757935255,2394.5567,2398.853,2392.438,2397.9711,2493.48
1757938855,2397.9711,2401.4318,2387.004,2389.0916,6268.59
1757942455,2389.0916,2401.6439,2381.2201,2392.1077,7867.93
1757946055,2392.1077,2398.5084,2359.7148,2363.9289,7331.48
1757949655,2363.9289,2377.7233,2354.8619,2371.8304,5777.86
1757953255,2371.8304,2380.5202,2353.4689,2362.3987,3701.13
1757956855,2362.3987,2368.6329,2353.7869,2365.9563,6754.76
1757960455,2365.9563,2373.554,2355.5376,2359.7432,1306.96
1757964055,2359.7432,2386.2552,2354.8925,2384.4191,7637.48
1757967655,2384.4191,2393.5398,2360.6936,2365.7846,1051.31
1757971255,2365.7846,2372.128,2334.0228,2341.2674,7054.66
1757974855,2341.2674,2342.2407,2332.9729,2338.0019,5919.2
1757978455,2338.0019,2374.3459,2331.9553,2367.0062,7578.26
1757982055,2367.0062,2384.265,2362.6583,2382.7996,3322.01
1757985655,2382.7996,2383.3168,2351.924,2359.4196,4906.59
1757989255,2359.4196,2367.1745,2356.9785,2365.021,3716.23
1757992855,2365.021,2378.0145,2364.8612,2373.9026,5713.09
1757996455,2373.9026,2383.256,2368.031,2377.1569,6291.72
1758000055,2377.1569,2390.1151,2376.4667,2383.4331,7496.33
1758003655,2383.4331,2390.9351,2358.3099,2361.1561,1605.54
1758007255,2361.1561,2382.1587,2357.4244,2377.9955,5625.06
1758010855,2377.9955,2383.0698,2376.341,2377.6381,3736.95
1758014455,2377.6381,2401.741,2368.5067,2396.5097,2008.53
1758018055,2396.5097,2417.1363,2388.8886,2408.3298,6105.27
1758021655,2408.3298,2417.4763,2396.5773,2401.8954,4885.49
1758025255,2401.8954,2401.9437,2374.7913,2380.4726,4760.06
1758028855,2380.4726,2411.1985,2373.3474,2408.2634,7324.82
1758032455,2408.2634,2412.2385,2393.8652,2400.0663,4587.87
